temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
14.0,9.0,72.0,0.0,0.0,1,Toyota
18.5,8.2,51.0,0.0,14.8,2,Toyota
10.6,9.4,92.0,0.0,0.0,1,Toyota
18.9,13.3,70.0,0.0,7.6,0,Toyota
19.7,6.4,42.0,0.0,16.6,0,Toyota
22.9,20.2,85.0,0.0,0.0,2,Toyota
8.3,-1.8,49.0,0.0,11.2,1,Toyota
15.0,7.3,60.0,0.0,9.4,1,Toyota
12.0,4.9,62.0,0.0,18.4,1,Toyota
11.1,-6.3,29.0,0.0,0.0,3,Toyota
17.8,2.1,35.0,0.0,7.6,2,Toyota
9.0,7.9,93.0,1.3,0.0,2,Toyota
28.9,-8.7,8.0,0.0,16.6,1,Toyota
12.2,10.6,90.0,0.5,16.6,1,Toyota
20.6,17.8,84.0,1.8,16.6,0,Toyota
19.0,16.0,83.0,0.0,13.0,0,Toyota
29.0,15.9,45.0,0.0,14.8,1,Toyota
22.2,6.8,37.0,0.0,0.0,1,Toyota
26.0,17.1,58.0,0.3,9.4,0,Toyota
24.4,18.3,69.0,0.0,18.4,1,Toyota
25.6,21.1,76.0,0.0,7.6,1,Toyota
20.0,9.0,49.0,0.0,16.6,1,Toyota
21.1,13.8,63.0,0.0,7.6,2,Toyota
26.1,22.8,82.0,0.0,5.4,1,Toyota
28.3,12.2,37.0,0.0,14.8,4,Toyota
31.1,24.0,66.0,0.0,14.8,1,Toyota
21.1,12.8,59.0,0.0,0.0,1,Toyota
19.4,12.2,63.0,0.0,0.0,0,Toyota
24.4,22.3,88.0,0.0,5.4,0,Toyota
20.6,14.5,68.0,0.0,0.0,2,Toyota
20.6,7.9,44.0,0.0,7.6,2,Toyota
14.4,10.6,78.0,0.0,0.0,2,Toyota
24.4,17.9,67.0,0.0,7.6,2,Toyota
13.9,2.2,45.0,0.0,14.8,1,Toyota
31.7,9.3,25.0,0.0,22.3,0,Toyota
16.0,2.0,39.0,0.0,7.6,0,Toyota
11.4,9.0,85.0,0.0,0.0,0,Toyota
14.4,9.0,70.0,0.0,0.0,3,Toyota
13.3,1.6,45.0,0.0,9.4,0,Toyota
22.7,-8.2,12.0,0.0,14.8,2,Toyota
23.3,18.6,75.0,0.0,16.6,1,Toyota
16.7,12.8,78.0,0.0,0.0,1,Toyota
18.2,-1.1,27.0,0.0,29.5,1,Toyota
19.5,-5.5,18.0,0.0,0.0,2,Toyota
15.0,6.0,55.0,0.0,22.3,1,Toyota
11.5,-3.1,36.0,0.0,7.6,1,Toyota
31.1,15.9,40.0,0.0,33.5,2,Toyota
15.0,4.9,51.0,0.0,11.2,0,Toyota
17.0,5.0,45.0,0.0,9.4,3,Toyota
17.0,16.0,94.0,0.0,11.2,2,Toyota
17.8,15.6,87.0,0.0,16.6,2,Toyota
25.6,19.0,67.0,0.0,0.0,1,Toyota
32.8,19.3,45.0,0.0,9.4,0,Toyota
16.1,15.0,93.0,0.0,14.8,1,Toyota
25.6,15.0,52.0,0.0,9.4,3,Toyota
19.4,12.2,63.0,0.0,24.1,1,Toyota
26.1,23.4,85.0,0.0,0.0,1,Toyota
26.1,20.7,72.0,0.0,7.6,0,Toyota
26.7,11.6,39.0,0.0,5.4,0,Toyota
30.6,19.9,53.0,0.0,9.4,0,Toyota
20.6,19.4,93.0,4.1,13.0,1,Toyota
20.0,17.8,87.0,0.0,5.4,1,Toyota
21.1,18.3,84.0,0.0,0.0,0,Toyota
24.4,22.8,91.0,0.3,16.6,2,Toyota
23.3,20.6,85.0,0.0,5.4,1,Toyota
16.0,15.0,94.0,0.8,14.8,1,Toyota
22.2,21.0,93.0,0.0,0.0,1,Toyota
2.0,-4.1,64.0,0.0,0.0,1,Toyota
26.7,11.2,38.0,0.0,14.8,1,Toyota
16.0,7.0,55.0,0.0,0.0,1,Toyota
11.1,6.0,71.0,0.0,0.0,1,Toyota
3.0,0.7,85.0,0.0,0.0,1,Toyota
18.3,7.7,50.0,0.0,16.6,0,Toyota
23.5,1.2,23.0,0.0,9.4,0,Toyota
24.6,21.3,82.0,0.0,18.4,3,Toyota
17.2,16.1,93.0,5.3,13.0,1,Toyota
22.0,-13.8,8.0,0.0,11.2,1,Toyota
22.2,-8.6,12.0,0.0,13.0,3,Toyota
20.6,8.3,45.0,0.0,13.0,1,Toyota
19.0,11.1,60.0,0.0,0.0,3,Toyota
24.4,17.9,67.0,0.0,20.5,0,Toyota
20.0,4.5,36.0,0.0,13.0,2,Toyota
17.2,-3.0,25.0,0.0,13.0,1,Toyota
28.9,20.1,59.0,0.0,5.4,1,Toyota
22.0,12.0,53.0,0.0,5.4,2,Toyota
28.0,18.1,55.0,0.0,0.0,1,Toyota
9.0,-0.9,50.0,0.0,22.3,1,Toyota
19.4,13.3,68.0,0.0,13.0,1,Toyota
