dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,25.7,21.8,79.0,0.0,13.0,500.08,15,8,8,3,Toyota
0,1,0,24.4,15.1,56.0,0.0,13.0,380.0,15,9,12,0,Toyota
0,1,0,20.6,3.3,32.0,0.0,7.6,300.0,15,7,13,1,Toyota
0,1,0,19.0,-9.1,14.0,0.0,18.4,501.32200000000006,16,7,12,0,Toyota
0,1,0,19.4,7.2,45.0,0.0,7.6,340.5,14,8,13,3,Toyota
0,1,0,12.8,-3.9,31.0,0.0,0.0,400.0,16,7,12,0,Toyota
0,1,0,13.9,13.1,95.0,3.0,7.6,500.0,15,7,12,1,Toyota
0,1,0,26.7,13.8,45.0,0.0,35.3,400.0,14,8,12,1,Toyota
0,0,1,25.0,-6.4,12.0,0.0,9.4,224.87,15,8,12,2,Toyota
0,1,0,26.1,13.9,47.0,0.0,5.4,288.834,16,7,12,2,Toyota
0,1,0,23.9,14.9,57.0,0.0,9.4,400.0,16,7,12,1,Toyota
0,1,0,25.0,20.9,78.0,0.0,11.2,400.5,15,8,12,1,Toyota
0,1,0,22.0,19.9,88.0,0.0,0.0,500.0,15,8,13,1,Toyota
0,1,0,22.0,13.1,57.0,0.0,0.0,400.0,15,8,13,1,Toyota
0,1,0,20.0,11.7,59.0,0.0,5.4,500.0,14,7,13,1,Toyota
0,0,1,18.3,12.7,70.0,0.0,5.4,220.50000000000003,15,8,12,2,Toyota
0,1,0,22.8,10.6,46.0,0.0,29.5,400.0,15,8,12,1,Toyota
0,1,0,20.0,17.2,84.0,0.0,9.4,266.5,16,7,12,3,Toyota
0,1,0,30.0,22.2,63.0,0.0,0.0,500.5,14,8,13,1,Toyota
0,1,0,26.7,20.1,67.0,0.0,14.8,300.0,16,7,13,2,Toyota
0,1,0,25.0,15.0,54.0,0.0,9.4,317.40000000000003,14,7,13,2,Toyota
0,1,0,20.0,18.8,93.0,0.0,0.0,400.0,15,7,12,0,Toyota
0,1,0,22.2,19.0,82.0,0.0,11.2,400.5,15,8,12,1,Toyota
0,1,0,26.7,16.6,54.0,0.0,9.4,427.5,17,7,12,2,Toyota
0,1,0,25.0,18.9,69.0,0.0,7.6,500.0,15,7,13,0,Toyota
0,1,0,23.9,20.0,79.0,0.0,0.0,501.0,15,8,13,1,Toyota
0,1,0,18.0,17.0,94.0,0.0,11.2,263.526,14,7,13,2,Toyota
0,1,0,8.3,5.1,80.0,0.0,0.0,508.06,16,8,13,1,Toyota
0,1,0,15.6,12.7,83.0,0.3,7.6,501.0,16,9,12,1,Toyota
0,1,0,13.9,4.5,53.0,0.0,0.0,312.0,16,8,13,1,Toyota
0,1,0,23.3,10.7,45.0,0.0,18.4,400.5,16,9,12,1,Toyota
0,1,0,14.0,9.0,72.0,0.0,0.0,508.2,15,9,11,1,Toyota
0,1,0,18.5,8.2,51.0,0.0,14.8,268.099,15,8,12,2,Toyota
0,1,0,10.6,9.4,92.0,0.0,0.0,263.0,15,7,14,1,Toyota
0,1,0,18.9,13.3,70.0,0.0,7.6,501.0,17,8,10,0,Toyota
0,1,0,19.7,6.4,42.0,0.0,16.6,312.0,15,7,12,0,Toyota
0,1,0,22.9,20.2,85.0,0.0,0.0,500.08,16,7,13,2,Toyota
0,1,0,8.3,-1.8,49.0,0.0,11.2,520.0,14,13,13,1,Toyota
0,1,0,15.0,7.3,60.0,0.0,9.4,300.0,15,12,12,1,Toyota
0,1,0,12.0,4.9,62.0,0.0,18.4,501.32200000000006,13,12,14,1,Toyota
