temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,date,rain_binary,location
20.0,8.3,47.0,0.0,30.0,13.0,1021.8,No Rain,1994-08-06,False, Indianapolis
21.7,15.1,66.0,0.0,170.0,0.0,1016.0,No Rain,1994-09-10,False, Richmond
25.6,20.6,74.0,0.0,210.0,9.4,1008.7,No Rain,1994-09-18,False, Dover
19.4,19.4,100.0,0.0,160.0,5.4,1016.8,No Rain,1994-09-25,False, Martinsville
29.4,-0.9,14.0,0.0,260.0,5.4,1006.7,No Rain,1995-10-29,False, Phoenix
21.1,13.8,63.0,0.0,220.0,7.6,1013.1,No Rain,1995-10-08,False, Charlotte
2.8,-2.7,67.0,0.0,310.0,22.3,1017.9,No Rain,1995-11-12,False, Atlanta
17.7,15.0,84.0,0.0,50.0,18.4,1021.2,No Rain,1995-02-19,False, Daytona
16.7,-4.6,23.0,0.0,190.0,16.6,1029.1,No Rain,1995-03-12,False, Atlanta
4.4,0.0,73.0,0.0,20.0,5.4,1030.5,No Rain,1995-03-05,False, Richmond
10.0,-5.6,33.0,0.0,260.0,14.8,1012.4,No Rain,1995-04-02,False, Bristol
22.8,11.2,48.0,0.0,260.0,9.4,1011.6,No Rain,1995-04-23,False, Martinsville
24.4,8.4,36.0,0.0,220.0,16.6,1013.8,No Rain,1995-04-30,False, Talladega
20.6,18.9,90.0,0.0,60.0,11.2,1020.0,No Rain,1995-05-28,False, Charlotte
18.9,8.8,52.0,0.0,290.0,25.9,1010.4,No Rain,1995-05-07,False, Sonoma
19.4,15.1,76.0,0.0,150.0,13.0,1018.2,No Rain,1995-06-11,False, Pocono
29.4,15.2,42.0,0.0,250.0,11.2,1023.3,No Rain,1995-06-18,False, Michigan
23.3,20.1,82.0,0.0,250.0,16.6,1013.9,No Rain,1995-06-04,False, Dover
23.8,21.1,85.0,1.0,220.0,0.0,1014.9,Light Rain,1995-07-01,True, Daytona
33.9,26.1,64.0,0.0,220.0,16.6,1010.7,No Rain,1995-07-16,False, Pocono
33.3,20.5,47.0,0.0,240.0,20.5,1013.0,No Rain,1995-07-23,False, Talladega
22.2,19.0,82.0,0.0,,0.0,1008.7,No Rain,1995-07-09,False, New Hampshire
27.2,20.5,67.0,0.0,60.0,11.2,1014.7,No Rain,1995-08-20,False, Michigan
28.9,18.4,53.0,0.0,120.0,9.4,1013.9,No Rain,1995-08-26,False, Bristol
23.9,23.2,96.0,0.8,50.0,20.5,1016.2,Light Rain,1995-08-05,True, Indianapolis
18.3,12.7,70.0,0.0,100.0,9.4,1022.5,No Rain,1995-09-17,False, Dover
9.4,6.1,80.0,0.0,20.0,14.8,1025.6,No Rain,1995-09-24,False, Martinsville
27.8,17.3,53.0,0.0,120.0,16.6,1013.2,No Rain,1995-09-09,False, Richmond
17.0,1.8,36.0,0.0,40.0,29.5,1007.6,No Rain,1996-10-27,False, Phoenix
14.2,6.3,59.0,0.0,20.0,5.4,1031.0,No Rain,1996-10-06,False, Charlotte
6.1,-7.2,38.0,0.0,220.0,7.6,1019.6,No Rain,1996-11-10,False, Atlanta
7.7,-10.1,27.0,0.0,250.0,16.6,1018.0,No Rain,1996-02-18,False, Daytona
1.7,-11.1,38.0,0.0,310.0,14.8,1033.2,No Rain,1996-03-10,False, Atlanta
3.3,0.5,82.0,0.0,90.0,11.2,1008.6,No Rain,1996-03-03,False, Richmond
13.9,6.7,62.0,0.0,160.0,13.0,1014.4,No Rain,1996-03-31,False, Bristol
15.6,14.0,90.0,0.0,220.0,31.7,1013.7,No Rain,1996-04-21,False, Martinsville
22.8,7.7,38.0,0.0,80.0,11.2,1016.9,No Rain,1996-04-28,False, Talladega
26.7,19.3,64.0,0.0,90.0,11.2,1015.9,No Rain,1996-05-26,False, Charlotte
18.9,6.0,43.0,0.0,280.0,25.9,1018.0,No Rain,1996-05-05,False, Sonoma
26.1,14.6,49.0,0.0,340.0,7.6,1014.6,No Rain,1996-06-16,False, Pocono
18.9,7.6,48.0,0.0,150.0,14.8,1027.3,No Rain,1996-06-02,False, Dover
25.0,12.9,47.0,0.0,310.0,22.3,1010.4,No Rain,1996-06-23,False, Michigan
18.3,17.8,97.0,0.0,50.0,18.7,999.9,No Rain,1996-07-14,False, New Hampshire
22.2,7.2,38.0,0.0,300.0,13.0,1009.8,No Rain,1996-07-21,False, Pocono
21.3,21.1,99.0,2.5,330.0,18.7,1022.4,Moderate Rain,1996-07-28,True, Talladega
24.4,21.7,85.0,0.0,140.0,9.4,1017.7,No Rain,1996-07-06,False, Daytona
23.9,16.2,62.0,0.0,190.0,5.4,1019.8,No Rain,1996-08-18,False, Michigan
25.6,18.3,64.0,0.0,,0.0,1019.7,No Rain,1996-08-24,False, Bristol
25.0,15.6,56.0,0.0,330.0,13.0,1015.4,No Rain,1996-08-03,False, Indianapolis
17.8,10.7,63.0,0.0,220.0,7.6,1010.3,No Rain,1996-09-15,False, Dover
