"season","race","site","track","track_length","track_type","laps","driver_finish_1","driver_finish_2","driver_finish_3","driver_finish_4","driver_finish_5","manufacturer_finish_1","manufacturer_finish_2","manufacturer_finish_3","manufacturer_finish_4","manufacturer_finish_5","avg_pos_swap","Chevrolet_fieldcount","Ford_fieldcount","Oldsmobile_fieldcount","Pontiac_fieldcount","Buick_fieldcount","Dodge_fieldcount","Toyota_fieldcount","total_fieldcount"
1992,4,"Atlanta","Atlanta Motor Speedway",1.522,"paved track",328,"Bill Elliott","Harry Gant","Dale Earnhardt","Davey Allison","Dick Trickle","Ford","Oldsmobile","Chevrolet","Ford","Ford",8.52380952380952,17,13,7,5,0,0,0,42
1992,5,"Darlington","Darlington Raceway",1.366,"paved track",367,"Bill Elliott","Harry Gant","Mark Martin","Davey Allison","Ricky Rudd","Ford","Oldsmobile","Ford","Ford","Chevrolet",8.2051282051282,12,13,5,9,0,0,0,39
1992,6,"Bristol","Bristol International Speedway",0.533,"paved track",500,"Alan Kulwicki","Dale Jarrett","Ken Schrader","Terry Labonte","Dick Trickle","Ford","Chevrolet","Chevrolet","Oldsmobile","Ford",9,10,12,5,5,0,0,0,32
1992,7,"North Wilkesboro","North Wilkesboro Speedway",0.625,"paved track",400,"Davey Allison","Rusty Wallace","Ricky Rudd","Geoffrey Bodine","Harry Gant","Ford","Pontiac","Chevrolet","Ford","Oldsmobile",5.25,11,11,5,5,0,0,0,32
1992,8,"Martinsville","Martinsville Speedway",0.526,"paved track",500,"Mark Martin","Sterling Marlin","Darrell Waltrip","Terry Labonte","Harry Gant","Ford","Ford","Chevrolet","Oldsmobile","Oldsmobile",10.1875,10,12,5,5,0,0,0,32
1992,9,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Davey Allison","Bill Elliott","Dale Earnhardt","Sterling Marlin","Ernie Irvan","Ford","Ford","Chevrolet","Ford","Chevrolet",7.75,15,14,4,7,0,0,0,40
1993,1,"Daytona","Daytona International Speedway",2.5,"paved track",200,"Dale Jarrett","Dale Earnhardt","Geoffrey Bodine","Hut Stricklin","Jeff Gordon","Chevrolet","Chevrolet","Ford","Ford","Chevrolet",11.219512195122,13,23,0,5,0,0,0,41
1993,10,"Sonoma","Sears Point International Raceway",2.52,"road course",74,"Geoffrey Bodine","Ernie Irvan","Ricky Rudd","Ken Schrader","Kyle Petty","Ford","Chevrolet","Chevrolet","Chevrolet","Pontiac",9.62790697674419,16,22,0,5,0,0,0,43
1993,11,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",400,"Dale Earnhardt","Jeff Gordon","Dale Jarrett","Ken Schrader","Ernie Irvan","Chevrolet","Chevrolet","Chevrolet","Chevrolet","Chevrolet",13.3658536585366,12,23,0,6,0,0,0,41
1993,12,"Dover","Dover Downs International Speedway",1,"paved track",500,"Dale Earnhardt","Dale Jarrett","Davey Allison","Mark Martin","Ken Schrader","Chevrolet","Chevrolet","Ford","Ford","Chevrolet",12.3684210526316,11,22,0,5,0,0,0,38
