season,race,site,track,track_length,track_type,laps,driver_finish_1,driver_finish_2,driver_finish_3,driver_finish_4,driver_finish_5,manufacturer_finish_1,manufacturer_finish_2,manufacturer_finish_3,manufacturer_finish_4,manufacturer_finish_5,miles_completed,shortened,Pontiac_top5_count,Toyota_top5_count,Ford_top5_count,Chevrolet_top5_count,Dodge_top5_count,Oldsmobile_top5_count,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date
1992,24,Martinsville,Martinsville Speedway,0.526,paved track,500,Geoffrey Bodine,Rusty Wallace,Brett Bodine,Kyle Petty,Alan Kulwicki,Ford,Pontiac,Ford,Pontiac,Ford,263.0,False,2,0,3,0,0,0,20.6,19.9,96.0,0.0,,30.0,7.6,,1018.7,,No Rain,1992-9-28
1992,26,Charlotte,Charlotte Motor Speedway,1.5,paved track,334,Mark Martin,Alan Kulwicki,Kyle Petty,Jimmy Spencer,Ricky Rudd,Ford,Ford,Pontiac,Ford,Chevrolet,501.0,False,1,0,3,1,0,0,18.3,8.3,52.0,0.0,,220.0,9.4,,1015.9,,No Rain,1992-10-11
1992,28,Phoenix,Phoenix International Raceway,1.0,paved track,312,Davey Allison,Mark Martin,Darrell Waltrip,Alan Kulwicki,Jimmy Spencer,Ford,Ford,Chevrolet,Ford,Ford,312.0,False,0,0,4,1,0,0,26.1,6.7,29.0,0.0,,220.0,18.7,,1011.3,,No Rain,1992-11-1
1992,29,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Bill Elliott,Alan Kulwicki,Geoffrey Bodine,Jimmy Spencer,Terry Labonte,Ford,Ford,Ford,Ford,Chevrolet,499.216,False,0,0,4,1,0,0,10.6,1.7,54.0,0.0,,230.0,13.0,,1022.2,,No Rain,1992-11-15
1993,1,Daytona,Daytona International Speedway,2.5,paved track,200,Dale Jarrett,Dale Earnhardt,Geoffrey Bodine,Hut Stricklin,Jeff Gordon,Chevrolet,Chevrolet,Ford,Ford,Chevrolet,500.0,False,0,0,2,3,0,0,17.2,8.3,56.0,0.0,,280.0,22.0,,1015.0,,No Rain,1993-2-14
1993,3,Richmond,Richmond International Raceway,0.75,paved track,400,Davey Allison,Rusty Wallace,Alan Kulwicki,Dale Jarrett,Kyle Petty,Ford,Pontiac,Ford,Chevrolet,Pontiac,300.0,False,2,0,2,1,0,0,5.0,-4.6,50.0,0.0,,300.0,0.0,,1014.9,,No Rain,1993-3-7
1993,4,Atlanta,Atlanta Motor Speedway,1.522,paved track,328,Morgan Shepherd,Ernie Irvan,Rusty Wallace,Jeff Gordon,Ricky Rudd,Ford,Chevrolet,Pontiac,Chevrolet,Chevrolet,499.216,False,1,0,1,3,0,0,10.0,-8.7,26.0,0.0,,90.0,27.7,,1029.8,,No Rain,1993-3-20
1993,6,Bristol,Bristol International Speedway,0.533,paved track,500,Rusty Wallace,Dale Earnhardt,Kyle Petty,Jimmy Spencer,Davey Allison,Pontiac,Chevrolet,Pontiac,Ford,Ford,266.5,False,2,0,2,1,0,0,10.0,-4.4,36.0,0.0,,,0.0,,1021.2,,No Rain,1993-4-4
1993,8,Martinsville,Martinsville Speedway,0.526,paved track,500,Rusty Wallace,Davey Allison,Dale Jarrett,Darrell Waltrip,Kyle Petty,Pontiac,Ford,Chevrolet,Chevrolet,Pontiac,263.0,False,2,0,1,2,0,0,20.0,4.5,36.0,0.0,,200.0,22.3,,1019.0,,No Rain,1993-4-25
1993,9,Talladega,Talladega Superspeedway,2.66,paved track,188,Ernie Irvan,Jimmy Spencer,Dale Jarrett,Dale Earnhardt,Joe Ruttman,Chevrolet,Ford,Chevrolet,Chevrolet,Ford,500.08,False,0,0,2,3,0,0,21.7,14.4,63.0,0.0,,130.0,11.2,,1014.8,,No Rain,1993-5-2
