temp,dwpt,rhum,prcp,wspd,avg_pos_swap
24.4,15.6,58.0,0.0,18.4,14.7619047619048
13.3,10.7,84.0,0.0,0.0,8.75
15.0,-2.9,29.0,0.0,22.3,7.02325581395349
5.6,-1.1,62.0,0.0,27.7,10.0975609756098
13.9,0.2,39.0,0.0,29.5,8.04878048780488
26.7,13.4,44.0,0.0,18.7,7.2
29.4,5.5,22.0,0.0,5.4,7.69230769230769
16.1,16.1,100.0,1.0,18.7,8.68292682926829
18.3,12.3,68.0,0.0,24.1,9.8
25.0,10.5,40.0,0.0,27.7,9.6875
11.7,6.2,69.0,0.0,9.4,8.26315789473684
32.7,18.9,44.0,0.0,9.0,7.31428571428571
25.6,16.7,58.0,0.0,13.0,10.7777777777778
30.0,21.7,61.0,0.0,16.6,10.3870967741935
17.8,12.3,70.0,0.0,14.8,8.5
19.4,12.2,63.0,0.0,20.5,6.8
18.9,11.2,61.0,0.0,7.6,13.3170731707317
20.0,11.7,59.0,0.0,7.6,7.08571428571429
20.6,19.9,96.0,0.0,7.6,8.52380952380952
18.3,8.3,52.0,0.0,9.4,9.0
26.1,6.7,29.0,0.0,18.7,10.1875
10.6,1.7,54.0,0.0,13.0,7.75
17.2,8.3,56.0,0.0,22.0,11.219512195122
5.0,-4.6,50.0,0.0,0.0,13.3658536585366
10.0,-8.7,26.0,0.0,27.7,12.3684210526316
10.0,-4.4,36.0,0.0,0.0,10.6829268292683
20.0,4.5,36.0,0.0,22.3,9.2
21.7,14.4,63.0,0.0,11.2,9.65
17.8,9.9,60.0,0.0,38.9,12.047619047619
26.7,17.8,58.0,0.0,16.6,11.3684210526316
19.4,16.6,84.0,0.0,13.0,8.55
22.7,13.2,55.0,0.0,14.8,9.17073170731707
26.7,24.0,85.0,0.0,9.4,9.82352941176471
24.4,18.8,71.0,1.3,9.0,9.05
31.1,15.5,39.0,0.0,20.5,8.88888888888889
25.0,10.5,40.0,0.0,14.8,12.1621621621622
31.7,24.3,65.0,0.0,0.0,10.5294117647059
30.6,18.3,48.0,0.0,9.4,9.85714285714286
21.7,19.4,87.0,0.0,0.0,6.97560975609756
22.8,8.9,41.0,0.0,5.4,8.16666666666667
18.9,18.2,96.0,0.0,0.0,15.5238095238095
16.1,15.6,97.0,0.0,7.6,9.15
24.4,13.9,52.0,0.0,13.0,10.2285714285714
24.4,-12.0,8.0,0.0,9.0,9.05882352941176
20.0,15.6,76.0,0.0,13.0,8.73170731707317
20.5,17.1,81.0,0.0,20.2,11.4761904761905
7.8,-4.3,42.0,0.0,11.2,15.0697674418605
12.8,-4.4,30.0,0.0,14.8,15.4285714285714
18.9,8.8,52.0,0.0,14.8,11.952380952381
15.0,1.1,39.0,0.0,13.0,11.2857142857143
22.8,16.6,68.0,0.0,13.0,11.1428571428571
17.8,11.1,65.0,0.0,40.7,10.3809523809524
23.3,11.0,46.0,0.0,7.6,10.9302325581395
25.0,7.2,32.0,0.0,7.6,11.7142857142857
17.8,16.7,93.0,0.0,13.0,6.8
32.8,20.7,49.0,0.0,11.2,10.390243902439
22.7,20.4,87.0,0.0,14.8,11.6666666666667
22.8,21.1,90.0,0.0,5.4,14.952380952381
26.7,18.3,60.0,0.0,9.4,11.2631578947368
30.6,19.0,50.0,0.0,9.4,12.85
20.0,8.3,47.0,0.0,13.0,9.27777777777778
19.4,18.9,97.0,0.5,9.4,13.4285714285714
25.0,19.4,71.0,0.0,0.0,13.7142857142857
21.7,15.1,66.0,0.0,0.0,10.2325581395349
25.6,20.6,74.0,0.0,9.4,15.0697674418605
19.4,19.4,100.0,0.0,5.4,14.3333333333333
22.8,17.3,71.0,0.0,5.4,13.4594594594595
30.0,3.9,19.0,0.0,9.0,10.4444444444444
15.0,-1.2,33.0,0.0,14.8,9.09523809523809
17.7,15.0,84.0,0.0,18.4,9.71428571428571
4.4,0.0,73.0,0.0,5.4,12.1428571428571
16.7,-4.6,23.0,0.0,16.6,13.7619047619048
10.0,-5.6,33.0,0.0,14.8,11.2380952380952
22.8,11.2,48.0,0.0,9.4,10.6341463414634
24.4,8.4,36.0,0.0,16.6,10.7317073170732
18.9,8.8,52.0,0.0,25.9,15.0232558139535
20.6,18.9,90.0,0.0,11.2,9.21951219512195
23.3,20.1,82.0,0.0,16.6,11.5238095238095
19.4,15.1,76.0,0.0,13.0,10.2
29.4,15.2,42.0,0.0,11.2,13.0952380952381
23.8,21.1,85.0,1.0,0.0,9.33333333333333
22.2,19.0,82.0,0.0,0.0,11.047619047619
33.9,26.1,64.0,0.0,16.6,9.8421052631579
33.3,20.5,47.0,0.0,20.5,12.05
23.9,23.2,96.0,0.8,20.5,8.77777777777778
27.2,20.5,67.0,0.0,11.2,11.1627906976744
28.9,18.4,53.0,0.0,9.4,11.5
27.8,17.3,53.0,0.0,16.6,9.63636363636364
18.3,12.7,70.0,0.0,9.4,11.1904761904762
9.4,6.1,80.0,0.0,14.8,8.47619047619048
21.1,13.8,63.0,0.0,7.6,11.7222222222222
29.4,-0.9,14.0,0.0,5.4,8.05555555555556
2.8,-2.7,67.0,0.0,22.3,10.6190476190476
7.7,-10.1,27.0,0.0,16.6,12.8837209302326
3.3,0.5,82.0,0.0,11.2,12.8837209302326
1.7,-11.1,38.0,0.0,14.8,12.5714285714286
13.9,6.7,62.0,0.0,13.0,11.25
15.6,14.0,90.0,0.0,31.7,13.25
22.8,7.7,38.0,0.0,11.2,10.4878048780488
18.9,6.0,43.0,0.0,25.9,12.9047619047619
26.7,19.3,64.0,0.0,11.2,10.45
